20 74	' ' 't'
20 61	' ' 'a'
68 65	'h' 'e'
69 6e	'i' 'n'
72 65	'r' 'e'
2074 6865	' t' 'he'
6f 6e	'o' 'n'
65 72	'e' 'r'
20 73	' ' 's'
20 77	' ' 'w'
61 74	'a' 't'
20 6f	' ' 'o'
65 6e	'e' 'n'
20 63	' ' 'c'
69 74	'i' 't'
69 73	'i' 's'
61 6e	'a' 'n'
6f 72	'o' 'r'
20 62	' ' 'b'
65 73	'e' 's'
65 64	'e' 'd'
20 66	' ' 'f'
696e 67	'in' 'g'
20 70	' ' 'p'
6f 75	'o' 'u'
2061 6e	' a' 'n'
61 6c	'a' 'l'
2074 6f	' t' 'o'
61 72	'a' 'r'
20 6d	' ' 'm'
20 696e	' ' 'in'
206f 66	' o' 'f'
20 68	' ' 'h'
20 64	' ' 'd'
e2 80	'�' '�'
61 73	'a' 's'
69 63	'i' 'c'
20616e 64	' an' 'd'
2074 68	' t' 'h'
6c 65	'l' 'e'
6f 6d	'o' 'm'
69 6f6e	'i' 'on'
6c 6c	'l' 'l'
656e 74	'en' 't'
20 6e	' ' 'n'
20 6c	' ' 'l'
20 7265	' ' 're'
73 74	's' 't'
76 65	'v' 'e'
20 65	' ' 'e'
6c 79	'l' 'y'
72 6f	'r' 'o'
2062 65	' b' 'e'
20 67	' ' 'g'
69 64	'i' 'd'
75 74	'u' 't'
61 63	'a' 'c'
6f 74	'o' 't'
20 54	' ' 'T'
20 49	' ' 'I'
207468 6174	' th' 'at'
20 6f6e	' ' 'on'
61 79	'a' 'y'
20 53	' ' 'S'
20 6973	' ' 'is'
65 74	'e' 't'
69 6d	'i' 'm'
61 6d	'a' 'm'
61 64	'a' 'd'
6f 77	'o' 'w'
73 65	's' 'e'
69 67	'i' 'g'
2066 6f72	' f' 'or'
e280 99	'�' '�'
20 41	' ' 'A'
76 6572	'v' 'er'
75 72	'u' 'r'
63 74	'c' 't'
6c 64	'l' 'd'
20 43	' ' 'C'
20 75	' ' 'u'
2073 74	' s' 't'
20 79	' ' 'y'
20 6974	' ' 'it'
20 6865	' ' 'he'
69 72	'i' 'r'
6174 696f6e	'at' 'ion'
6974 68	'it' 'h'
2077 68	' w' 'h'
20 4d	' ' 'M'
63 65	'c' 'e'
74 6572	't' 'er'
6f 6c	'o' 'l'
2077 65	' w' 'e'
69 6c	'i' 'l'
2077 697468	' w' 'ith'
2061 73	' a' 's'
20 42	' ' 'B'
63 68	'c' 'h'
69 6c6c	'i' 'll'
6e 64	'n' 'd'
20 50	' ' 'P'
2077 6173	' w' 'as'
6572 73	'er' 's'
2079 6f75	' y' 'ou'
6b 65	'k' 'e'
20 e280	' ' '�'
2063 6f6e	' c' 'on'
2064 65	' d' 'e'
20 72	' ' 'r'
6865 72	'he' 'r'
69 66	'i' 'f'
6174 65	'at' 'e'
61 67	'a' 'g'
2061 74	' a' 't'
2068 61	' h' 'a'
20 57	' ' 'W'
2073 65	' s' 'e'
20 48	' ' 'H'
6f 7265	'o' 're'
2070 726f	' p' 'ro'
75 6c	'u' 'l'
70 70	'p' 'p'
